                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.1248,                 2.6825,                0.86771,                  1.265,                0.84231,                0.76577,                0.84494,                0.47965,                0.21264,                0.13514,                0.04828,                0.00935,                    1.5,                 2.7218,                 0.9505,                 1.6804,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.1206,                 2.6981,                0.85122,                  1.259,                0.86262,                0.78378,                0.87289,                0.48128,                0.21702,                0.14414,                0.05225,                 0.0102,                 1.5486,                 2.7198,                0.92583,                 1.7468,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.1512,                 2.6988,                0.87328,                 1.2754,                0.83018,                0.78378,                0.85085,                0.49566,                0.24807,                0.16216,                0.07098,                0.01168,                 1.4925,                 2.7255,                0.92358,                  1.701,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.1532,                 2.7048,                0.87031,                 1.2762,                0.81156,                0.82883,                0.85449,                0.49241,                0.18949,                 0.1982,                 0.0601,                0.01193,                   1.52,                 2.6924,                0.92179,                 1.7328,               0.000416,               0.000416,               0.000416
                     82,                 1.1671,                 2.7025,                0.85303,                 1.2875,                0.87856,                0.78212,                0.84246,                0.48428,                 0.1792,                0.16216,                0.04542,                0.00849,                  1.583,                 2.7645,                0.91748,                 1.7712,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.1134,                 2.6744,                0.82252,                 1.2426,                0.82342,                0.79279,                0.83978,                0.46842,                0.20217,                0.18018,                0.05778,                0.00944,                 1.5736,                 2.7259,                0.93927,                 1.7652,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.1283,                 2.7419,                0.83889,                 1.2711,                0.84588,                0.77477,                0.83072,                0.48276,                  0.181,                0.16216,                0.05238,                0.01126,                 1.5124,                 2.7487,                0.90637,                 1.6943,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.0953,                 2.6482,                0.82655,                 1.2437,                0.87127,                0.78378,                0.83548,                0.50391,                0.19774,                0.17117,                0.07312,                 0.0133,                 1.5131,                 2.7138,                0.90177,                 1.7093,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.0854,                 2.7031,                0.81039,                 1.2389,                0.84199,                 0.8018,                 0.8606,                0.51679,                0.24547,                0.20721,                0.10404,                0.01927,                 1.4704,                 2.7159,                0.87585,                 1.6751,               0.000317,               0.000317,               0.000317
                     87,                 1.1328,                 2.6492,                0.84466,                 1.2528,                0.84269,                0.74775,                0.82349,                0.48367,                0.21863,                0.20721,                0.07763,                 0.0169,                  1.539,                 2.7743,                0.93934,                 1.7352,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.0809,                 2.6529,                0.80769,                 1.2281,                0.85649,                0.75676,                  0.839,                0.48845,                0.21071,                0.17117,                0.06591,                0.01475,                 1.5812,                 2.7762,                0.89353,                 1.7968,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.0742,                 2.6683,                0.79416,                  1.223,                0.87048,                0.79279,                0.85736,                0.47538,                0.25148,                0.18018,                0.08817,                0.01663,                  1.597,                 2.6856,                0.91427,                 1.8042,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.0938,                 2.6454,                0.79079,                 1.2308,                  0.793,                0.79382,                 0.8443,                0.49312,                0.24926,                0.17117,                0.07131,                0.01415,                 1.5526,                 2.7408,                0.89105,                 1.7461,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.0899,                 2.4166,                0.70044,                 1.3312,                0.81143,                0.72973,                0.83641,                0.49125,                 0.2677,                0.18018,                0.10216,                0.01834,                 1.5442,                 2.7053,                0.90092,                 1.7401,               0.000218,               0.000218,               0.000218
                     92,                0.97141,                 2.3715,                0.65111,                 1.2688,                0.81021,                 0.8018,                0.84341,                0.48573,                0.24236,                0.14414,                0.07668,                0.01401,                 1.5874,                 2.7557,                0.89214,                 1.7727,              0.0001982,              0.0001982,              0.0001982
                     93,                0.97045,                 2.3147,                0.62294,                 1.2498,                 0.8268,                0.77414,                 0.8525,                0.49498,                0.18676,                0.18919,                 0.0714,                 0.0145,                  1.551,                 2.7507,                0.85303,                 1.7401,              0.0001784,              0.0001784,              0.0001784
                     94,                0.95074,                 2.3022,                 0.6092,                 1.2599,                0.80106,                0.82883,                0.84473,                0.49097,                0.24149,                0.17117,                0.07315,                0.01478,                 1.5223,                 2.7399,                0.84037,                 1.7415,              0.0001586,              0.0001586,              0.0001586
                     95,                0.96505,                 2.2925,                0.60803,                 1.2494,                0.87719,                0.71171,                0.83605,                0.49312,                0.24534,                0.18018,                0.09008,                0.01576,                 1.5044,                 2.7568,                0.83343,                 1.7353,              0.0001388,              0.0001388,              0.0001388
                     96,                0.90743,                 2.2628,                0.56769,                 1.2185,                0.89982,                 0.7283,                0.84159,                0.49483,                0.19147,                0.15315,                 0.0569,                0.01202,                 1.5252,                  2.808,                0.85578,                 1.7378,               0.000119,               0.000119,               0.000119
                     97,                0.91419,                 2.2522,                0.56695,                 1.2343,                0.87798,                0.72973,                0.84219,                0.49251,                0.19988,                0.16216,                0.06057,                  0.012,                 1.5345,                 2.7902,                0.87329,                 1.7403,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.88882,                 2.2508,                0.56185,                 1.2051,                0.87639,                0.74775,                0.86266,                 0.4993,                0.20156,                0.16216,                0.05863,                0.01271,                 1.5372,                 2.7698,                 0.8587,                 1.7401,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.89573,                 2.2588,                0.56767,                 1.2064,                0.88238,                0.72973,                0.84923,                0.49545,                 0.2342,                0.18919,                0.08682,                0.01506,                 1.5572,                 2.7714,                0.83729,                 1.7702,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.88386,                 2.2586,                0.56202,                 1.2089,                0.84403,                0.77477,                0.85353,                0.49868,                0.19923,                0.16216,                0.05819,                0.01229,                 1.5253,                  2.793,                0.85914,                 1.7436,               3.98e-05,               3.98e-05,               3.98e-05
